业务概念(Term),SAP对标字段,MES物理字段名(DB_Column),数据类型,字典编码(dict_code),长度,是否必填,备注
工厂ID,,plant_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂编码,,plant_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工厂名称,,plant_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
工厂类型,,plant_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
地址,,address,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
排序号,,sort_no,int,,11,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
车间ID,,workshop_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
车间编码,,workshop_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
车间名称,,workshop_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
车间类型,,workshop_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
排序号,,sort_no,int,,11,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
产线ID,,line_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
车间ID,,workshop_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
产线编码,,line_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
产线名称,,line_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
产线类型,,line_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
排序号,,sort_no,int,,11,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
工作中心ID,,work_center_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
车间ID,,workshop_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
产线ID,,line_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
工作中心编码,,work_center_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
工作中心名称,,work_center_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
工作中心类型,,work_center_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
产能单位,,capacity_unit,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
物料编码,,material_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
物料名称,,material_name,varchar,,128,是,基础版字段定义，后续可按数据库规范细化。
物料类型,,material_type,varchar,mes_material_type,32,否,基础版字段定义，后续可按数据库规范细化。
规格型号,,spec_model,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
基本单位,,base_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
是否批次管理,,batch_managed_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
是否序列号管理,,serial_managed_flag,char,sys_yes_no,1,是,基础版字段定义，后续可按数据库规范细化。
状态,,status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
BOM ID,,bom_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
工厂ID,,plant_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
物料ID,,material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
BOM编码,,bom_code,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
BOM版本,,bom_version,varchar,,32,是,基础版字段定义，后续可按数据库规范细化。
BOM用途,,bom_usage,varchar,mes_bom_usage,64,否,基础版字段定义，后续可按数据库规范细化。
生效开始时间,,effective_from,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
生效结束时间,,effective_to,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
BOM状态,,bom_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
基准数量,,base_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
基本单位,,base_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
BOM明细ID,,bom_item_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
BOM ID,,bom_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
项目号,,item_no,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
组件物料ID,,component_material_id,bigint,,20,是,基础版字段定义，后续可按数据库规范细化。
组件数量,,component_qty,decimal,,18,是,基础版字段定义，后续可按数据库规范细化。
组件单位,,component_uom,varchar,mes_uom,20,否,基础版字段定义，后续可按数据库规范细化。
损耗率,,scrap_rate,decimal,,18,否,基础版字段定义，后续可按数据库规范细化。
项目类型,,item_type,varchar,type_dict,32,否,基础版字段定义，后续可按数据库规范细化。
生效开始时间,,effective_from,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
生效结束时间,,effective_to,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
项目状态,,item_status,varchar,status_dict,20,是,基础版字段定义，后续可按数据库规范细化。
创建人,,create_by,varchar,,64,是,基础版字段定义，后续可按数据库规范细化。
创建时间,,create_time,datetime,,,是,基础版字段定义，后续可按数据库规范细化。
更新人,,update_by,varchar,,64,否,基础版字段定义，后续可按数据库规范细化。
更新时间,,update_time,datetime,,,否,基础版字段定义，后续可按数据库规范细化。
逻辑删除标识,,del_flag,char,sys_del_flag,1,是,0存在 2删除
备注,,remark,varchar,,500,否,基础版字段定义，后续可按数据库规范细化。
BOM工序映射ID,,bom_item_op_map_id,bigint,,20,是,主键，建议使用雪花ID或数据库统一ID生成策略。
